

Congressional Directory for the 114th Congress (2015-2016), February 2016. - 


Congressional Directory for the 114th Congress (2015-2016), February 2016.
[Pages 316-319]
[From the U.S. Government Publishing Office, www.gpo.gov]


          REPRESENTATIVES, RESIDENT COMMISSIONER, AND DELEGATES
Honda, Michael M., CA (17th)
Hoyer, Steny H., MD (5th)
Hudson, Richard, NC (8th)
Huelskamp, Tim, KS (1st)
Huffman, Jared, CA (2d)
Huizenga, Bill, MI (2d)
Hultgren, Randy, IL (14th)
Hunter, Duncan, CA (50th)
Hurd, Will, TX (23d)
Hurt, Robert, VA (5th)
Israel, Steve, NY (3d)
Issa, Darrell E., CA (49th)
Jackson Lee, Sheila, TX (18th)
Jeffries, Hakeem S., NY (8th)
Jenkins, Evan H., WV (3d)
Jenkins, Lynn, KS (2d)
Johnson, Bill, OH (6th)
Johnson, Eddie Bernice, TX (30th)
Johnson, Henry C. ``Hank'', Jr., GA (4th)
Johnson, Sam, TX (3d)
Jolly, David W., FL (13th)
Jones, Walter B., NC (3d)
Jordan, Jim, OH (4th)
Joyce, David P., OH (14th)
Kaptur, Marcy, OH (9th)
Katko, John, NY (24th)
Keating, William R., MA (9th)
Kelly, Mike, PA (3d)
Kelly, Robin L., IL (2d)
Kelly, Trent, MS (1st)
Kennedy, Joseph P. III, MA (4th)
Kildee, Daniel T., MI (5th)
Kilmer, Derek, WA (6th)
Kind, Ron, WI (3d)
King, Peter T., NY (2d)
King, Steve, IA (4th)
Kinzinger, Adam, IL (16th)
Kirkpatrick, Ann, AZ (1st)
Kline, John, MN (2d)
Knight, Stephen, CA (25th)
Kuster, Ann M., NH (2d)
Labrador, Raul R., ID (1st)
LaHood, Darin, IL (18th)
LaMalfa, Doug, CA (1st)
Lamborn, Doug, CO (5th)
Lance, Leonard, NJ (7th)
Langevin, James R., (RI) (2d)
Larsen, Rick, WA (2d)
Larson, John B., CT (1st)
Latta, Robert E., OH (5th)
Lawrence, Brenda L., MI (14th)
Lee, Barbara, CA (13th)
Levin, Sander M., MI (9th)
Lewis, John, GA (5th)
Lieu, Ted, CA (33d)
Lipinski, Daniel, IL (3d)
LoBiondo, Frank A., NJ (2d)
Loebsack, David, IA (2d)
Lofgren, Zoe, CA (19th)
Long, Billy, MO (7th)
Loudermilk, Barry, GA (11th)
Love, Mia B., UT (4th)
Lowenthal, Alan S., CA (47th)
Lowey, Nita M., NY (17th)
Lucas, Frank D., OK (3d)
Luetkemeyer, Blaine, MO (3d)
Lujan, Ben Ray, NM (3d)
Lujan Grisham, Michelle, NM (1st)
Lummis, Cynthia M., WY (At Large)
Lynch, Stephen F., MA (8th)
MacArthur, Thomas, NJ (3d)
Maloney, Carolyn B., NY (12th)
Maloney, Sean Patrick, NY (18th)
Marchant, Kenny, TX (24th)

[[Page 318]]


Marino, Tom, PA (10th)
Massie, Thomas, KY (4th)
Matsui, Doris O., CA (6th)
McCarthy, Kevin, CA (23d)
McCaul, Michael T., TX (10th)
McClintock, Tom, CA (4th)
McCollum, Betty, MN (4th)
McDermott, Jim, WA (7th)
