

Congressional Directory for the 113th Congress (2013-2014), February 2014. - 


Congressional Directory for the 113th Congress (2013-2014), February 2014.
[Pages 314-317]
[From the U.S. Government Publishing Office, www.gpo.gov]


           ALPHABETICAL LIST - REPRESENTATIVES, RESIDENT COMMISSIONER, AND DELEGATES
Horsford, Steven A., NV (4th)
Hoyer, Steny H., MD (5th)
Hudson, Richard, NC (8th)
Huelskamp, Tim, KS (1st)
Huffman, Jared, CA (2d)
Huizenga, Bill, MI (2d)
Hultgren, Randy, IL (14th)
Hunter, Duncan, CA (50th)
Hurt, Robert, VA (5th)
Israel, Steve, NY (3d)
Issa, Darrell E., CA (49th)
Jackson Lee, Sheila, TX (18th)
Jeffries, Hakeem S., NY (8th)
Jenkins, Lynn, KS (2d)
Johnson, Bill, OH (6th)
Johnson, Eddie Bernice, TX (30th)
Johnson, Henry C. ``Hank'' Jr., GA (4th)
Johnson, Sam, TX (3d)
Jones, Walter B., NC (3d)
Jordan, Jim, OH (4th)
Joyce, David P., OH (14th)
Kaptur, Marcy, OH (9th)
Keating, William R., MA (9th)
Kelly, Mike, PA (3d)
Kelly, Robin L., IL (2d)
Kennedy, Joseph P. III, MA (4th)
Kildee, Daniel T., MI (5th)
Kilmer, Derek, WA (6th)
Kind, Ron, WI (3d)
King, Peter T., NY (2d)
King, Steve, IA (4th)
Kingston, Jack, GA (1st)
Kinzinger, Adam, IL (16th)
Kirkpatrick, Ann, AZ (1st)
Kline, John, MN (2d)
Kuster, Ann M., NH (2d)
Labrador, Raul R., ID (1st)
LaMalfa, Doug, CA (1st)
Lamborn, Doug, CO (5th)
Lance, Leonard, NJ (7th)
Langevin, James R., RI (2d)
Lankford, James, OK (5th)
Larsen, Rick, WA (2d)
Larson, John B., CT (1st)
Latham, Tom, IA (3d)
Latta, Robert E., OH (5th)
Lee, Barbara, CA (13th)
Levin, Sander M., MI (9th)
Lewis, John, GA (5th)
Lipinski, Daniel, IL (3d)
LoBiondo, Frank A., NJ (2d)
Loebsack, David, IA (2d)
Lofgren, Zoe, CA (19th)
Long, Billy, MO (7th)
Lowenthal, Alan S., CA (47th)
Lowey, Nita M., NY (17th)
Lucas, Frank D., OK (3d)
Luetkemeyer, Blaine, MO (3d)
Lujan, Ben Ray, NM (3d)
Lujan Grisham, Michelle, NM (1st)
Lummis, Cynthia M., WY (At Large)
Lynch, Stephen F., MA (8th)
McAllister, Vance M., LA (5th)
McCarthy, Carolyn, NY (4th)
McCarthy, Kevin, CA (23d)
McCaul, Michael T., TX (10th)
McClintock, Tom, CA (4th)
McCollum, Betty, MN (4th)
McDermott, Jim, WA (7th)
McGovern, James P., MA (2d)
McHenry, Patrick T., NC (10th)
McIntyre, Mike, NC (7th)
McKeon, Howard P. ``Buck'', CA (25th)
McKinley, David B., WV (1st)

[[Page 316]]


McMorris Rodgers, Cathy, WA (5th)
McNerney, Jerry, CA (9th)
Maffei, Daniel B., NY (24th)
Maloney, Carolyn B., NY (12th)
Maloney, Sean Patrick, NY (18th)
Marchant, Kenny, TX (24th)
Marino, Tom, PA (10th)
Massie, Thomas, KY (4th)
Matheson, Jim, UT (4th)
Matsui, Doris O., CA (6th)
Meadows, Mark, NC (11th)
Meehan, Patrick, PA (7th)
Meeks, Gregory W., NY (5th)
Meng, Grace, NY (6th)
Messer, Luke, IN (6th)
Mica, John L., FL (7th)
Michaud, Michael H., ME (2d)
Miller, Candice S., MI (10th)
Miller, Gary G., CA (31st)
Miller, George, CA (11th)
Miller, Jeff, FL (1st)
Moore, Gwen, WI (4th)
Moran, James P., VA (8th)
Mullin, Markwayne, OK (2d)
Mulvaney, Mick, SC (5th)
Murphy, Patrick, FL (18th)
Murphy, Tim, PA (18th)
Nadler, Jerrold, NY (10th)
Napolitano, Grace F., CA (32d)
Neal, Richard E., MA (1st)
Negrete McLeod, Gloria, CA (35th)
Neugebauer, Randy, TX (19th)
Noem, Kristi L., SD (At Large)
Nolan, Richard M., MN (8th)
Nugent, Richard B., FL (11th)
Nunes, Devin, CA (22d)
Nunnelee, Alan, MS (1st)
Olson, Pete, TX (22d)
O'Rourke, Beto, TX (16th)
Owens, William L., NY (21st)
Palazzo, Steven M., MS (4th)
Pallone, Frank, Jr., NJ (6th)
Pascrell, Bill, Jr., NJ (9th)
Pastor, Ed, AZ (7th)
Paulsen, Erik, MN (3d)
Payne, Donald M., Jr., NJ (10th)
Pearce, Stevan, NM (2d)
Pelosi, Nancy, CA (12th)
Perlmutter, Ed, CO (7th)
Perry, Scott, PA (4th)
Peters, Gary C., MI (14th)
Peters, Scott H., CA (52d)
Peterson, Collin C., MN (7th)
Petri, Thomas E., WI (6th)
Pingree, Chellie, ME (1st)
Pittenger, Robert, NC (9th)
Pitts, Joseph R., PA (16th)
Pocan, Mark, WI (2d)
Poe, Ted, TX (2d)
Polis, Jared, CO (2d)
Pompeo, Mike, KS (4th)
Posey, Bill, FL (8th)
Price, David E., NC (4th)
Price, Tom, GA (6th)
Quigley, Mike, IL (5th)
Rahall, Nick J. II, WV (3d)
Rangel, Charles B., NY (13th)
Reed, Tom, NY (23d)
Reichert, David G., WA (8th)
Renacci, James B., OH (16th)
Ribble, Reid J., WI (8th)
Rice, Tom, SC (7th)
Richmond, Cedric L., LA (2d)
Rigell, E. Scott, VA (2d)
Roby, Martha, AL (2d)
Roe, David P., TN (1st)
Rogers, Harold, KY (5th)
Rogers, Mike, AL (3d)
Rogers, Mike, MI (8th)
Rohrabacher, Dana, CA (48th)
Rokita, Todd, IN (4th)
Rooney, Thomas J., FL (17th)
Roskam, Peter J., IL (6th)
Ros-Lehtinen, Ileana, FL (27th)
Ross, Dennis A., FL (15th)
Rothfus, Keith J., PA (12th)
Roybal-Allard, Lucille, CA (40th)
Royce, Edward R., CA (39th)
Ruiz, Raul, CA (36th)
Runyan, Jon, NJ (3d)
Ruppersberger, C. A. Dutch, MD (2d)
Rush, Bobby L., IL (1st)
Ryan, Paul, WI (1st)
Ryan, Tim, OH (13th)
Salmon, Matt, AZ (5th)
Sanchez, Linda T., CA (38th)
Sanchez, Loretta, CA (46th)
Sanford, Mark, SC (1st)
Sarbanes, John P., MD (3d)
Scalise, Steve, LA (1st)
Schakowsky, Janice D., IL (9th)
Schiff, Adam B., CA (28th)
Schneider, Bradley S., IL (10th)
Schock, Aaron, IL (18th)
Schrader, Kurt, OR (5th)
Schwartz, Allyson Y., PA (13th)
Schweikert, David, AZ (6th)
Scott, Austin, GA (8th)
Scott, David, GA (13th)
Scott, Robert C. ``Bobby'', VA (3d)
Sensenbrenner, F. James, Jr., WI (5th)
Serrano, Jose E., NY (15th)
Sessions, Pete, TX (32d)
Sewell, Terri A., AL (7th)
Shea-Porter, Carol, NH (1st)
Sherman, Brad, CA (30th)
Shimkus, John, IL (15th)
Shuster, Bill, PA (9th)
Simpson, Michael K., ID (2d)
Sinema, Kyrsten, AZ (9th)
Sires, Albio, NJ (8th)
Slaughter, Louise McIntosh, NY (25th)
Smith, Adam, WA (9th)
Smith, Adrian, NE (3d)
Smith, Christopher H., NJ (4th)
Smith, Jason T., MO (8th)
Smith, Lamar, TX (21st)
Southerland, Steve II, FL (2d)
Speier, Jackie, CA (14th)
Stewart, Chris, UT (2d)
Stivers, Steve, OH (15th)
Stockman, Steve, TX (36th)

[[Page 317]]


Stutzman, Marlin A., IN (3d)
Swalwell, Eric, CA (15th)
Takano, Mark, CA (41st)
Terry, Lee, NE (2d)
Thompson, Bennie G., MS (2d)
Thompson, Glenn, PA (5th)
Thompson, Mike, CA (5th)
Thornberry, Mac, TX (13th)
Tiberi, Patrick J., OH (12th)
Tierney, John F., MA (6th)
Tipton, Scott R., CO (3d)
Titus, Dina, NV (1st)
Tonko, Paul, NY (20th)
Tsongas, Niki, MA (3d)
Turner, Michael R., OH (10th)
Upton, Fred, MI (6th)
Valadao, David G., CA (21st)
Van Hollen, Chris, MD (8th)
Vargas, Juan, CA (51st)
Veasey, Marc A., TX (33d)
Vela, Filemon, TX (34th)
Velazquez, Nydia M., NY (7th)
Visclosky, Peter J., IN (1st)
Wagner, Ann, MO (2d)
Walberg, Tim, MI (7th)
Walden, Greg, OR (2d)
Walorski, Jackie, IN (2d)
Walz, Timothy J., MN (1st)
Wasserman Schultz, Debbie, FL (23d)
Waters, Maxine, CA (43d)
Waxman, Henry A., CA (33d)
Weber, Randy K., Sr., TX (14th)
Webster, Daniel, FL (10th)
Welch, Peter, VT (At Large)
Wenstrup, Brad R., OH (2d)
Westmoreland, Lynn A., GA (3d)
Whitfield, Ed, KY (1st)
Williams, Roger, TX (25th)
Wilson, Frederica S., FL (24th)
Wilson, Joe, SC (2d)
Wittman, Robert J., VA (1st)
Wolf, Frank R., VA (10th)
Womack, Steve, AR (3d)
Woodall, Rob, GA (7th)
Yarmuth, John A., KY (3d)
Yoder, Kevin, KS (3d)
Yoho, Ted S., FL (3d)
Young, Don, AK (At Large)
Young, Todd C., IN (9th)

RESIDENT COMISSIONER
Pierluisi, Pedro R., PR

DELEGATES
Faleomavaega, Eni F. H., AS
Norton, Eleanor Holmes, DC
Bordallo, Madeleine Z., GU
Sablan, Gregorio Kilili Camacho, MP
Christensen, Donna M., VI



