

Congressional Directory for the 108th Congress (2003-2004), January 2004. - 


Congressional Directory for the 108th Congress (2003-2004), January 2004.
[Pages 309-312]
[From the U.S. Government Publishing Office, www.gpo.gov]


                             REPRESENTATIVES

 Republicans in roman (228); Democrats in italic (204); Independents in 
  Small Caps (1); Resident Commissioner and Delegates in boldface (5); 
                         Vacant (2); total 440.

Hoeffel, Joseph M., PA (13th)
Hoekstra, Peter, MI (2nd)
Holden, Tim, PA (17th)
Holt, Rush D., NJ (12th)
Honda, Michael M., CA (15th)
Hooley, Darlene, OR (5th)
Hostettler, John N., IN (8th)
Houghton, Amo, NY (29th)
Hoyer, Steny H., MD (5th)
Hulshof, Kenny C., MO (9th)
Hunter, Duncan, CA (52nd)
Hyde, Henry J., IL (6th)
Inslee, Jay, WA (1st)
Isakson, Johnny, GA (6th)
Israel, Steve, NY (2nd)
Issa, Darrell E., CA (49th)
Istook, Ernest J., Jr., OK (5th)
Jackson, Jesse L., Jr., IL (2nd)
Jackson Lee, Sheila, TX (18th)
Jefferson, William J., LA (2nd)
Jenkins, William L., TN (1st)
John, Christopher, LA (7th)
Johnson, Eddie Bernice, TX (30th)
Johnson, Nancy L., CT (5th)
Johnson, Sam, TX (3rd)
Johnson, Timothy V., IL (15th)
Jones, Stephanie Tubbs, OH (11th)
Jones, Walter B., NC (3rd)
Kanjorski, Paul E., PA (11th)
Kaptur, Marcy, OH (9th)
Keller, Ric, FL (8th)
Kelly, Sue W., NY (19th)
Kennedy, Mark R., MN (6th)
Kennedy, Patrick J., RI (1st)
Kildee, Dale E., MI (5th)
Kilpatrick, Carolyn C., MI (13th)
Kind, Ron, WI (3rd)
King, Peter T., NY (3rd)
King, Steve, IA (5th)
Kingston, Jack, GA (1st)
Kirk, Mark Steven, IL (10th)
Kleczka, Gerald D., WI (4th)
Kline, John, MN (2nd)
Knollenberg, Joe, MI (9th)
Kolbe, Jim, AZ (8th)
Kucinich, Dennis J., OH (10th)
LaHood, Ray, IL (18th)
Lampson, Nick, TX (9th)
Langevin, James R., RI (2nd)
Lantos, Tom, CA (12th)
Larsen, Rick, WA (2nd)
Larson, John B., CT (1st)
Latham, Tom, IA (4th)
LaTourette, Steven C., OH (14th)
Leach, James A., IA (2nd)
Lee, Barbara, CA (9th)
Levin, Sander M., MI (12th)
Lewis, Jerry, CA (41st)
Lewis, John, GA (5th)
Lewis, Ron, KY (2nd)
Linder, John, GA (7th)
Lipinski, William O., IL (3rd)
LoBiondo, Frank A., NJ (2nd)
Lofgren, Zoe, CA (16th)

[[Page 311]]


Lowey, Nita M., NY (18th)
Lucas, Frank D., OK (3rd)
Lucas, Ken, KY (4th)
Lynch, Stephen F., MA (9th)
Majette, Denise L., GA (4th)
Maloney, Carolyn B., NY (14th)
Manzullo, Donald A., IL (16th)
Markey, Edward J., MA (7th)
Marshall, Jim, GA (3rd)
Matheson, Jim, UT (2nd)
Matsui, Robert T., CA (5th)
McCarthy, Carolyn, NY (4th)
McCarthy, Karen, MO (5th)
McCollum, Betty, MN (4th)
McCotter, Thaddeus G., MI (11th)
McCrery, Jim, LA (4th)
McDermott, Jim, WA (7th)
McGovern, James P., MA (3rd)
McHugh, John M., NY (23rd)
McInnis, Scott, CO (3rd)
McIntyre, Mike, NC (7th)
McKeon, Howard P. (Buck), CA (25th)
McNulty, Michael R., NY (21st)
Meehan, Martin T., MA (5th)
Meek, Kendrick B., FL (17th)
Meeks, Gregory W., NY (6th)
Menendez, Robert, NJ (13th)
Mica, John L., FL (7th)
Michaud, Michael H., ME (2nd)
Millender-McDonald, Juanita, CA (37th)
Miller, Brad, NC (13th)
Miller, Candice S., MI (10th)
Miller, Gary G., CA (42nd)
Miller, George, CA (7th)
Miller, Jeff, FL (1st)
Mollohan, Alan B., WV (1st)
Moore, Dennis, KS (3rd)
Moran, James P., VA (8th)
Moran, Jerry, KS (1st)
Murphy, Tim, PA (18th)
Murtha, John P., PA (12th)
Musgrave, Marilyn N., CO (4th)
Myrick, Sue Wilkins, NC (9th)
Nadler, Jerrold, NY (8th)
Napolitano, Grace F., CA (38th)
Neal, Richard E., MA (2nd)
Nethercutt, George R., Jr., WA (5th)
Neugebauer, Randy, TX (19th)
Ney, Robert W., OH (18th)
Northup, Anne M., KY (3rd)
