

Congressional Directory for the 106th Congress (1999-2000), October 2000. - 


Congressional Directory for the 106th Congress (1999-2000), October 2000.
[Pages 321-324]
[From the U.S. Government Publishing Office, www.gpo.gov]


[[Page 321]]

                    REPRESENTATIVES - 106TH CONGRESS

 Republicans in roman (222). Democrats in italic (211). Independents in 
                   bold (1). [Vacant] (1). Total 435.

Hoekstra, Peter, MI (2nd)
Holden, Tim, PA (6th)
Holt, Rush D., NJ (12th)
Hooley, Darlene, OR (5th)
Horn, Steve, CA (38th)
Hostettler, John, IN (8th)
Houghton, Amo, NY (31st)
Hoyer, Steny H., MD (5th)
Hulshof, Kenny, MO (9th)
Hunter, Duncan, CA (52nd)
Hutchinson, Asa, AR (3rd)
Hyde, Henry J., IL (6th)
Inslee, Jay, WA (1st)
Isakson, Johnny, GA (6th)
Istook, Ernest J., Jr., OK (5th)
Jackson, Jesse L., Jr., IL (2nd)
Jackson Lee, Sheila, TX (18th)
Jefferson, William J., LA (2nd)
Jenkins, William L. (Bill), TN (1st)
John, Chris, LA (7th)
Johnson, Eddie Bernice, TX (30th)
Johnson, Nancy L., CT (6th)
Johnson, Sam, TX (3rd)
Jones, Stephanie Tubbs, OH (11th)
Jones, Walter B., NC (3rd)
Kanjorski, Paul E., PA (11th)
Kaptur, Marcy, OH (9th)
Kasich, John R., OH (12th)
Kelly, Sue, NY (19th)
Kennedy, Patrick J., RI (1st)
Kildee, Dale E., MI (9th)
Kilpatrick, Carolyn C., MI (15th)
Kind, Ron, WI (3rd)
King, Peter T., NY (3rd)
Kingston, Jack, GA (1st)
Kleczka, Gerald D., WI (4th)
Klink, Ron, PA (4th)
Knollenberg, Joe, MI (11th)
Kolbe, Jim, AZ (5th)
Kucinich, Dennis, OH (10th)
Kuykendall, Steven T., CA (36th)
LaFalce, John J., NY (29th)
LaHood, Ray, IL (18th)
Lampson, Nick, TX (9th)
Lantos, Tom, CA (12th)
Largent, Steve, OK (1st)
Larson, John B., CT (1st)
Latham, Tom, IA (5th)
LaTourette, Steven, OH (19th)
Lazio, Rick A., NY (2nd)
Leach, James A., IA (1st)
Lee, Barbara, CA (9th)
Levin, Sander M., MI (12th)
Lewis, Jerry, CA (40th)
Lewis, John, GA (5th)
Lewis, Ron, KY (2nd)
Linder, John, GA (11th)
Lipinski, William O., IL (3rd)
LoBiondo, Frank, NJ (2nd)
Lofgren, Zoe, CA (16th)
Lowey, Nita M., NY (18th)
Lucas, Frank D., OK (6th)
Lucas, Ken, KY (4th)
Luther, Bill, MN (6th)

[[Page 323]]


Maloney, Carolyn B., NY (14th)
Maloney, James H., CT (5th)
Manzullo, Donald, IL (16th)
Markey, Edward J., MA (7th)
Martinez, Matthew G., CA (31st)
Mascara, Frank, PA (20th)
Matsui, Robert T., CA (5th)
McCarthy, Carolyn, NY (4th)
McCarthy, Karen, MO (5th)
McCollum, Bill, FL (8th)
McCrery, Jim, LA (4th)
McDermott, Jim, WA (7th)
McGovern, James P., MA (3rd)
McHugh, John M., NY (24th)
McInnis, Scott, CO (3rd)
McIntosh, David M., IN (2nd)
McIntyre, Mike, NC (7th)
McKeon, Howard P. (Buck), CA (25th)
McKinney, Cynthia, GA (4th)
