

Congressional Directory for the 106th Congress (1999-2000), June 1999. - 


Congressional Directory for the 106th Congress (1999-2000), June 1999.
[Pages 321-324]
[From the U.S. Government Publishing Office, www.gpo.gov]


[[Page 321]]


                    REPRESENTATIVES - 106TH CONGRESS

 Republicans in roman (222). Democrats in italic (211). Independents in 
                   bold (1). [Vacant] (1). Total 435.

Gordon, Bart, TN (6th) (D)
Goss, Porter J., FL (14th) (R)
Graham, Lindsey, SC (3rd) (R)
Granger, Kay, TX (12th) (R)
Green, Gene, TX (29th) (D)
Green, Mark, WI (8th) (R)
Greenwood, James C., PA (8th) (R)
Gutierrez, Luis V., IL (4th) (D)
Gutknecht, Gil, MN (1st) (R)
Hall, Ralph M., TX (4th) (D)
Hall, Tony P., OH (3rd) (D)
Hansen, James V., UT (1st) (R)
Hastert, J. Dennis, IL (14th) (R)
Hastings, Alcee L., FL (23d) (D)
Hastings, Doc, WA (4th) (R)
Hayes, Robin, NC (8th) (R)
Hayworth, J.D., AZ (6th) (R)
Hefley, Joel, CO (5th) (R)
Herger, Wally, CA (2nd) (R)
Hill, Baron P., IN (9th) (D)
Hill, Rick, MT (At Large) (R)
Hilleary, Van, TN (4th) (R)
Hilliard, Earl F., AL (7th) (D)
Hinchey, Maurice D., NY (26th) (D)
Hinojosa, Ruben, TX (15th) (D)
Hobson, David L., OH (7th) (R)
Hoeffel, Joseph M., PA (13th) (D)
Hoekstra, Peter, MI (2nd) (R)
Holden, Tim, PA (6th) (D)
Holt, Rush D., NJ (12th) (D)
Hooley, Darlene, OR (5th) (D)
Horn, Steve, CA (38th) (R)
Hostettler, John, IN (8th) (R)
Houghton, Amo, NY (31st) (R)
Hoyer, Steny H., MD (5th) (D)
Hulshof, Kenny, MO (9th) (R)
Hunter, Duncan, CA (52nd) (R)
Hutchinson, Asa, AR (3rd) (R)
Hyde, Henry J., IL (6th) (R)
Inslee, Jay, WA (1st) (D)
Isakson, Johnny, GA (6th) (R)
Istook, Ernest J., Jr., OK (5th) (R)
Jackson, Jesse L., Jr., IL (2nd) (D)
Jackson Lee, Sheila, TX (18th) (D)
Jefferson, William J., LA (2nd) (D)
Jenkins, William L. (Bill), TN (1st) (R)
John, Chris, LA (7th) (D)
Johnson, Eddie Bernice, TX (30th) (D)
Johnson, Nancy L., CT (6th) (R)
Johnson, Sam, TX (3rd) (R)
Jones, Stephanie Tubbs, OH (11th) (D)
Jones, Walter B., NC (3rd) (R)
Kanjorski, Paul E., PA (11th) (D)
Kaptur, Marcy, OH (9th) (D)
Kasich, John R., OH (12th) (R)
Kelly, Sue, NY (19th) (R)
Kennedy, Patrick J., RI (1st) (D)
Kildee, Dale E., MI (9th) (D)
Kilpatrick, Carolyn C., MI (15th) (D)
Kind, Ron, WI (3rd) (D)
King, Peter T., NY (3rd) (R)
Kingston, Jack, GA (1st) (R)
Kleczka, Gerald D., WI (4th) (D)
Klink, Ron, PA (4th) (D)
Knollenberg, Joe, MI (11th) (R)
Kolbe, Jim, AZ (5th) (R)
Kucinich, Dennis, OH (10th) (D)
Kuykendall, Steven T., CA (36th) (R)
LaFalce, John J., NY (29th) (D)
LaHood, Ray, IL (18th) (R)
Lampson, Nick, TX (9th) (D)
Lantos, Tom, CA (12th) (D)
Largent, Steve, OK (1st) (R)
Larson, John B., CT (1st) (D)
Latham, Tom, IA (5th) (R)
LaTourette, Steven, OH (19th) (R)
Lazio, Rick A., NY (2nd) (R)
Leach, James A., IA (1st) (R)
Lee, Barbara, CA (9th) (D)
Levin, Sander M., MI (12th) (D)
Lewis, Jerry, CA (40th) (R)
Lewis, John, GA (5th) (D)
Lewis, Ron, KY (2nd) (R)
Linder, John, GA (11th) (R)
Lipinski, William O., IL (3rd) (D)
LoBiondo, Frank, NJ (2nd) (R)
Lofgren, Zoe, CA (16th) (D)
Lowey, Nita M., NY (18th) (D)
Lucas, Frank D., OK (6th) (R)
Lucas, Ken, KY (4th) (D)
Luther, Bill, MN (6th) (D)

[[Page 323]]


Maloney, Carolyn B., NY (14th) (D)
Maloney, James H., CT (5th) (D)
Manzullo, Donald, IL (16th) (R)
Markey, Edward J., MA (7th) (D)
Martinez, Matthew G., CA (31st) (D)
Mascara, Frank, PA (20th) (D)
Matsui, Robert T., CA (5th) (D)
McCarthy, Carolyn, NY (4th) (D)
McCarthy, Karen, MO (5th) (D)
McCollum, Bill, FL (8th) (R)
McCrery, Jim, LA (4th) (R)
McDermott, Jim, WA (7th) (D)
McGovern, James P., MA (3rd) (D)
McHugh, John M., NY (24th) (R)
McInnis, Scott, CO (3rd) (R)
McIntosh, David M., IN (2nd) (R)
McIntyre, Mike, NC (7th) (D)
McKeon, Howard P. (Buck), CA (25th) (R)
McKinney, Cynthia, GA (4th) (D)
McNulty, Michael R., NY (21st) (D)
Meehan, Martin T., MA (5th) (D)
Meek, Carrie, FL (17th) (D)
Meeks, Gregory W., NY (6th) (D)
Menendez, Robert, NJ (13th) (D)
Metcalf, Jack, WA (2nd) (R)
Mica, John L., FL (7th) (R)
Millender-McDonald, Juanita, CA (37th) (D)
Miller, Dan, FL (13th) (R)
Miller, Gary G., CA (41st) (R)
Miller, George, CA (7th) (D)
Minge, David, MN (2nd) (D)
Mink, Patsy T., HI (2nd) (D)
Moakley, John Joseph, MA (9th) (D)
Mollohan, Alan B., WV (1st) (D)
Moore, Dennis, KS (3rd) (D)
Moran, James P., VA (8th) (D)
Moran, Jerry, KS (1st) (R)
Morella, Constance A., MD (8th) (R)
Murtha, John P., PA (12th) (D)
Myrick, Sue, NC (9th) (R)
Nadler, Jerrold, NY (8th) (D)
Napolitano, Grace F., CA (34th) (D)
Neal, Richard E., MA (2nd) (D)
Nethercutt, George, WA (5th) (R)
Ney, Robert W., OH (18th) (R)
Northup, Anne M., KY (3rd) (R)
Norwood, Charlie, GA (10th) (R)
Nussle, Jim, IA (2nd) (R)
Oberstar, James L., MN (8th) (D)
Obey, David R., WI (7th) (D)
Olver, John W., MA (1st) (D)
Ortiz, Solomon P., TX (27th) (D)
Ose, Doug, CA (3rd) (R)
Owens, Major R., NY (11th) (D)
Oxley, Michael G., OH (4th) (R)
Packard, Ron, CA (48th) (R)
Pallone, Frank, Jr., NJ (6th) (D)
Pascrell, William J., Jr., NJ (8th) (D)
Pastor, Ed, AZ (2nd) (D)
Paul, Ron, TX (14th) (R)
Payne, Donald M., NJ (10th) (D)
Pease, Edward A., IN (7th) (R)
Pelosi, Nancy, CA (8th) (D)
Peterson, Collin C., MN (7th) (D)
Peterson, John E., PA (5th) (R)
